"city","average_flights"
"Абакан","3.8709677419354839"
"Анадырь","1.00000000000000000000"
"Анапа","2.1612903225806452"
"Архангельск","5.3548387096774194"
"Астрахань","2.4516129032258065"
"Барнаул","2.6129032258064516"
"Белгород","6.0000000000000000"
"Белоярский","2.0000000000000000"
"Благовещенск","1.00000000000000000000"
"Братск","1.00000000000000000000"
"Брянск","10.0000000000000000"
"Бугульма","3.0000000000000000"
"Владивосток","3.0000000000000000"
"Владикавказ","2.0000000000000000"
"Волгоград","5.1290322580645161"
"Воркута","4.5806451612903226"
"Воронеж","2.0000000000000000"
"Геленджик","2.5909090909090909"
"Горно-Алтайск","1.3870967741935484"
"Грозный","1.1290322580645161"
"Екатеринбург","11.3225806451612903"
"Иваново","1.00000000000000000000"
"Ижевск","1.00000000000000000000"
"Иркутск","6.0322580645161290"
"Йошкар-Ола","4.2903225806451613"
"Казань","7.7419354838709677"
"Калининград","2.5806451612903226"
"Калуга","2.0322580645161290"
"Кемерово","2.0000000000000000"
"Киров","6.0000000000000000"
"Когалым","3.1612903225806452"
"Комсомольск-на-Амуре","1.00000000000000000000"
"Краснодар","3.9032258064516129"
"Красноярск","11.5806451612903226"
"Курган","3.4193548387096774"
"Курск","2.2903225806451613"
"Кызыл","1.2777777777777778"
"Липецк","1.2941176470588235"
"Магадан","1.3571428571428571"
"Магнитогорск","4.0000000000000000"
"Махачкала","3.2903225806451613"
"Минеральные Воды","3.4193548387096774"
"Мирный","6.2903225806451613"
"Москва","129.7741935483870968"
"Мурманск","2.0000000000000000"
"Надым","2.2903225806451613"
"Нальчик","3.0000000000000000"
"Нарьян-Мар","2.6129032258064516"
"Нерюнгри","2.5806451612903226"
"Нефтеюганск","1.00000000000000000000"
"Нижневартовск","3.1290322580645161"
"Нижнекамск","3.7419354838709677"
"Нижний Новгород","5.8709677419354839"
"Новокузнецк","6.0322580645161290"
"Новосибирск","17.3225806451612903"
"Новый Уренгой","8.2903225806451613"
"Норильск","2.2903225806451613"
"Ноябрьск","3.0000000000000000"
"Нягань","1.00000000000000000000"
"Омск","3.2903225806451613"
"Оренбург","5.0000000000000000"
"Орск","1.5909090909090909"
"Пенза","4.0000000000000000"
"Пермь","10.1290322580645161"
"Петрозаводск","5.8709677419354839"
"Петропавловск-Камчатский","1.00000000000000000000"
"Псков","1.5483870967741935"
"Ростов-на-Дону","10.1935483870967742"
"Салехард","2.0000000000000000"
"Самара","3.0000000000000000"
"Санкт-Петербург","31.1612903225806452"
"Саранск","2.0000000000000000"
"Саратов","4.0000000000000000"
"Советский","9.0000000000000000"
"Сочи","9.6129032258064516"
"Ставрополь","2.0000000000000000"
"Стрежевой","1.00000000000000000000"
"Сургут","8.7419354838709677"
"Сыктывкар","4.1290322580645161"
"Тамбов","4.0000000000000000"
"Томск","4.1935483870967742"
"Тюмень","6.9677419354838710"
"Удачный","3.0000000000000000"
"Улан-Удэ","1.6086956521739130"
"Ульяновск","9.5806451612903226"
"Урай","2.0000000000000000"
"Усинск","1.00000000000000000000"
"Усть-Илимск","2.8709677419354839"
"Усть-Кут","1.00000000000000000000"
"Уфа","6.2903225806451613"
"Ухта","3.0000000000000000"
"Хабаровск","6.5483870967741935"
"Ханты-Мансийск","8.4193548387096774"
"Чебоксары","5.0000000000000000"
"Челябинск","6.7096774193548387"
"Череповец","2.1612903225806452"
"Чита","1.5806451612903226"
"Элиста","4.8709677419354839"
"Южно-Сахалинск","4.2903225806451613"
"Якутск","2.7419354838709677"
"Ярославль","1.3225806451612903"
